CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PUC_NUM,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2018093064,99.0,9,1050 SWEDESFORD ROAD,,BERWYN,PA,19312,PECO ENERGY,9999999999.0,11000.0,,,,,N,,,,,,N,,1,,99
2018095926,99.0,9,TRHYUIKOUIK,,JOHNSTOWN,PA,99999,MJ DANIELS LLC,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,8
2018098866,99.0,7,197 SWAMP CREEK RD,,GILBERTSVILLE,PA,99999,WASTE MANAGEMENT OF PA,9999999999.0,73280.0,,,,,N,,,,,,N,,1,,5
2018100630,99.0,8,123 MARKET STREET,14TH FL,PHILADELPHIA,PA,19107,SOUTH EASTERN TRANSPORTATION,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018103985,4.0,7,2200 WECCACOE AVE,,PHILADELPHIA,PA,19148,MR CLEAN,2675490783.0,73280.0,,,,,N,,,,,,N,,1,02920838,9
2018105534,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018105945,99.0,9,9ETHYJETYK,,PHILA,PA,99999,REPUBLIC SERVICES OF PA LLC,9999999999.0,73280.0,,,,,N,,,,,,N,,2,,5
2018107926,99.0,8,1234 MARKET ST 14TH FL,ATT JOYCE WATSON,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,10
2018108825,4.0,3,501 WASHINGTON ST,,CONSHOHOCKEN,PA,19428,DAN LEPORE AND SONS CO,6104909888.0,73280.0,,,,,N,,,,,,N,,1,00300468,4
2018113901,5.0,1,2009 ELMWOOD AVE,,SHARON HILL,PA,19079,TEUTONIC TRANSPORTATION LLC,8444652636.0,80000.0,,,,,N,,,,,,N,,1,02526040,8
2018116874,3.0,4,PO BOX11347,,PHILADELPHIA,PA,19137,PURSUIT METALS LLC,9999999999.0,80000.0,,,,,N,,,,,,N,,2,02892616,4
2018118309,99.0,9,"100 S BROAD ST,3RD FLOO",,PHILADELPHIA,PA,19110,CITY OF PHILA,9999999999.0,57000.0,,,,,N,,,,,,N,,1,,5
2018123559,99.0,9,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,14500.0,,,,,N,,,,,,N,,2,,99
2018124521,99.0,9,99,,99,ZZ,99999,VS TRANS INC,9999999999.0,23000.0,,,,,N,,,,,,N,,2,,99
2018124521,99.0,1,99,,99,ZZ,99999,FEDERAL EXPRESS CORP,9999999999.0,16000.0,,,,,N,,,,,,N,,4,,5
2018127431,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018128572,3.0,4,544 S BERLIN AVE,,MAYS LANDING,NJ,08330,GRAYSON TRUCKING AND TR,6099659374.0,80000.0,,,,,N,,,,,,N,A-09128456,1,00928669,8
2018130228,99.0,9,SFRGTYJRTYJ,,FGTYJHFDJFDJH,GA,99999,FORD MOTOR CREDIT COMPANY,9999999999.0,26000.0,,,,,N,,,,,,N,,1,,99
2018130228,6.0,0,434 PRIMOS AVENUE,,FOLCROFT,PA,19032,M. GEARCE ENTERPRISES,4844945777.0,71650.0,,,,,N,,,,,,N,,2,00959283,8
2018130775,99.0,9,00,,00,MD,99999,R E MICHAEL CO INC,9999999999.0,12000.0,,,,,N,,,,,,N,,1,,99
2018130837,99.0,8,1234  MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018133451,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,4,,11
2018138054,2.0,1,1515 YORK RD,,LUTHULE TIMON,MD,21202,PRESIDENTIAL TRUCK LEASING LLC,4102445647.0,14000.0,,,,,N,,,,,,N,,2,,3
2019000704,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2019000708,99.0,9,9999,,999,ZZ,99999,99999,9999999999.0,15000.0,,,,,N,,,,,,N,,5,,99
2018006512,99.0,9,270 EAST GRANT ST.,,BLAIR,NE,68008,HIRSCHBACH MOTOR LINES INC.,4042109410.0,80000.0,,,,,N,,,,,,N,,1,00065769,8
2018014174,5.0,1,200 CONTINENTIAL DR,,NEWARK,DE,19713,COHEN & MANCINI LOGISTICS LLC,3029322046.0,80000.0,,,,,N,,,,,,N,,1,03050684,8
2018027224,99.0,9,UNKNOWN,,UNKNOWN,IN,99999,SWIFT TRANSPORT,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,5
2018027670,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018028641,4.0,1,11690 NW 105ST,,MIAMI,FL,33178,RYDER,8007933765.0,80000.0,,,,,N,,,,,,N,,1,01272302,9
2018029675,99.0,9,200 MOTOR PKWY STE S21,,HAUPPAGE,NY,11788,ASTRALEASE ASSOCIATES INC,9999999999.0,73280.0,,,,,N,,,,,,N,,2,,5
2018030098,99.0,8,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018032200,99.0,9,"100 S BROAD ST,3RD FLOO",,PHILA,PA,19110,CITY OF PHILADELPHIA,9999999999.0,10200.0,,,,,N,,,,,,N,,1,,5
2018032323,99.0,5,3600 S 26TH PHILA PA,,PHILA,PA,19145,SJA CONSTRUCTION INC,9999999999.0,73280.0,,,,,N,,,,,,N,,1,,9
2018043421,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018043698,3.0,8,1234 MARKET ST,,PHILADELPHIA,PA,19107,SEPTA,2155807800.0,58680.0,,,,,N,,,,,,N,,1,00010206,11
2018045509,3.0,8,1234 MARKET,,PHILADELPHIA,PA,19106,SEPTA,2155807800.0,999999.0,,,,,N,,,,,,N,,3,,11
2018046836,2.0,9,8275 US ROUTE 130 SOUTH,,PENNSAUKEN,NJ,08110,CANADA DRY DELAWARE COUNTY,8882384410.0,54000.0,,,,,N,,,,,,N,,1,00033335,6
2018047472,99.0,1,9119 FRANKFORD AVENUE,,PHILADELPHIA,PA,19114,JAMES D MORRISSEN,2157088420.0,80000.0,,,,,N,,,,,,U,,2,00010072,8
2018051697,2.0,3,1592 RTE 38,PO BOX 619,LUMBERTON,NJ,08048,MILLER AUTO LEASING,2155529832.0,26000.0,,,,,N,,,,,,N,,2,,3
2018054166,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018056164,2.0,8,2601 NAVISTAR DRIVE,,LISLE,IL,60532,DURHAM SCHOOL SERVICES LP,6308219059.0,29220.0,,,,,N,,,,,,N,,1,00350651,11
2018058158,99.0,9,971 BRIARSDALE RD,,HARRISBURG,PA,99999,RYDER TRUCK RENTAL,9999999999.0,26000.0,,,,,N,,,,,,N,,2,,5
2018060526,99.0,1,8325 ARDWICK,,LANOVER,MD,20785,UPS,9999999999.0,25500.0,,,,,N,,,,,,N,,1,,5
2018069638,3.0,1,740 S READING AVE,,BOYERTOWN,PA,19512,EF CORPORATION T/A WEST MOTOR FR,6103672611.0,999999.0,,,,,N,,,,,,N,,2,00113693,8
2018077805,5.0,1,56 PARSONS ST,,PRESQUE ELSE,ME,04769,BLUE DIAMOND TRANSPORTATION LLC,2077601223.0,80000.0,,,,,N,,,,,,N,,1,02533963,8
2018081112,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018093031,99.0,9,8844 RISING SUN AVE,,PHILADELPHIA,PA,99999,MALIK,9999999999.0,12500.0,,,,,N,,,,,,N,,2,,99
2018093129,99.0,9,SEFHJSDHKM,,PHILA,PA,99999,CITY OF PHILA,9999999999.0,62000.0,,,,,N,,,,,,N,,1,,5
2018095307,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,3,,11
2018096318,99.0,0,1955 W NORTH AVE,,MELROSE PARK,IL,60160,AMERICAN PROCURMENT & LOGISTICS,0.0,999999.0,,,,,N,,,,,,N,,1,00068255,8
2018097169,3.0,3,519 ROYERSFORD RD,,ROYERSFORD,PA,19468,JOHN E LEMANOWICZ DBA SUPERIOR,9999999999.0,54000.0,,,,,N,,,,,207764.0,N,A-00107824,1,00382768,4
2018097171,99.0,9,UNKNOWN,,UNKNOWN,ZZ,99999,TONY DEPAUL & SON CONSTRUCTION,9999999999.0,21860.0,,,,,N,,,,,,N,,1,,99
2018097555,2.0,1,3351 TREMLEY POINT ROAD,,LINDEN,NJ,07036,MAXIMUM QUALITY FOODS INC,8558859464.0,15000.0,,,,,N,,,,,,N,,2,00633508,3
2018099397,2.0,8,20 IRVEN STREET,,TRENTON,NJ,08638,STOUTS CHARTER SERVICE,6094625608.0,999999.0,,,,,N,,,,,,N,,2,00250655,10
2018103109,2.0,8,1234 MARKET ST,,PHILADELPHIA,PA,19102,SEPTA,2155108100.0,44004.0,,,,,N,,,,,,N,,1,00010206,11
2018104097,99.0,9,19006 BLUE SPRUCE,,STRONGSVILLE,OH,44149,BOYKO TRUCKING LLC,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,8
2018104112,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018106858,99.0,8,200 HAHN RD,,PITTSBURGH,PA,15209,FIRST STUDENT INC,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,10
2018106873,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018109296,99.0,9,UNKNOWN,,SANFORD,ME,99999,CHAPMAN,9999999999.0,80000.0,,,,,N,,,,,,N,,2,,8
2018110252,5.0,9,2681 W 2ND ST APT 6A,,BROOKLYN,NY,11223,ON TIME NYC INC,6466066910.0,99.0,,,,,N,,,,,,N,,1,03031618,6
2018110838,99.0,9,999,,999,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,8
2018113098,99.0,8,3740 E. THOMPSON ST,,PHILA,PA,19131,DURHAM SCHOOL SRVICES LLC,0.0,999999.0,,,,,N,,,,,,N,,1,00000766,11
2018115968,3.0,6,64 GREENLEIGH DRIVE,,SWELL,NJ,08080,ETERNITY TRANSPORT LLC,8564663956.0,80000.0,,,,,N,,,,,,N,,2,01580056,8
2018118037,3.0,5,355 NEWBOLD ROAD,,FAIRLESS HILLS,PA,19030,CONSTRUCTURAL DYNAMICS INC,2679079974.0,73280.0,,,,,N,,,,,,N,,1,00219093,4
2018118324,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018119090,2.0,3,999 FETTERS MILL RD UNI,,BRYN ATHYN,PA,19009,ARS GROUP,2672303637.0,10000.0,,,,,N,,,,,,N,,2,02962237,3
2018130280,3.0,4,16 S 17TH ST,,EASTON,PA,18042,EAST COAST HAULING INC,6102535747.0,80000.0,,,,,N,,,,,,N,,3,01660673,8
2018130369,99.0,8,1234 MARKET,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018131679,2.0,8,7273 STATE RD,,NEENAH,WI,54956,DURHAM SCHOOL SERVICES,6308219059.0,25500.0,,,,,N,,,,,,N,,2,00350651,11
2018132322,2.0,1,1020 E 4TH ST,,CRUM LYNNE,PA,19022,ATLANTTIC ICE DISTRIBUTORS,6108767900.0,33000.0,,,,,N,,,,,,N,,2,01037582,3
2018132779,2.0,8,2601 NAVISTAR DR,,LISLE,IL,60532,DURHAM SCHOOL SERVICES LP,6308219059.0,29000.0,,,,,N,,,,,,N,,2,00350651,11
2018136546,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018136549,99.0,9,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,8
2019000024,99.0,1,828 RED LION RD APT B8,,PHILADELPHIA,PA,19115,UZBEGIM SERVICE LLC,9083512800.0,80000.0,,,,,N,,,,,,N,,2,00019811,8
2019000357,2.0,1,1019 4TH AVE,,LESTER,PA,19029,SIR LANCELLOT,6105953370.0,15995.0,,,,,N,,,,,,N,,1,01285346,3
2019017166,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2019017791,99.0,8,1234  MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018003695,5.0,7,6318 CALVERT ST,,PHILADELPHIA,PA,191491913,RC DE OLEO TRUCKING INC,2672219478.0,80000.0,,,,,N,,,,,,N,,1,02503249,8
2018020682,5.0,1,5050 CENTRAL HWY,,PENNSAUKEN,NJ,08109,J.C.I. TRANSPORTATION,8564889200.0,80000.0,,,,,N,,,,,,N,,1,02092841,8
2018025430,3.0,4,804 ROBERTS AVE,,DREXEL HILL,PA,19026,AMS WASTE DISPOSAL INC,2153340130.0,73280.0,,,,,N,,,,,,N,,1,01921873,8
2018027739,2.0,2,3206 HAMMONDS FERRY RD,,BALTIMORE,MD,21227,PENSKE LEASING AND RENTAL COMP,9999999999.0,26000.0,,,,,N,,,,,,N,,2,01469215,99
2018028800,99.0,9,505 GRANT AVENUE,,CROYDON,PA,19021,JIM F DAVIS TRUCKING,9999999999.0,73280.0,,,,,N,,,,,,N,,1,,5
2018028804,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018030675,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018030726,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,,,1,,11
2018031036,6.0,1,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,,,1,,8
2018032186,99.0,1,2809 S FRONT ST,,PHILA,PA,19148,BELL BEVERAGE INC,9999999999.0,25500.0,,,,,N,,,,,,N,,2,,5
2018036840,5.0,1,217 W 116TH ST,,PERKINS,OK,74059,NAVAJO EXPRESS INC,3032873800.0,80000.0,,,,,N,,,,,,N,,1,00202381,8
2018037268,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,10
2018039398,2.0,8,3141 CHESTNUT ST,,PHILADELPHIA,PA,19104,DREXEL UNIV,8556981876.0,999999.0,,,,,N,,,,,,N,,1,00000528,11
2018045600,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018047615,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,,,2,,11
2018055383,99.0,8,38 SOUTHERN BLVD,,NESCONSET,NY,11767,REGENCY TRANSPORTATION LTD,6315432500.0,999999.0,,,,,N,,,,,,N,,1,,11
2018057048,5.0,9,8440 S TABLER RD,,MORRIS,IL,60450,A&R LOGISTICS INC,8159415200.0,80000.0,,,,,N,,,,,,N,,2,00138986,8
2018057736,4.0,4,201 INDIAN RUN RD,,DOUGLASSVILLE,PA,19518,W.J. MENKINS HAULING INC,4844150362.0,73280.0,,,,,N,,,,,,N,,1,01489984,4
2018058273,2.0,0,6951 NORWICH DR,,PHILADELPHIA,PA,19153,HERC RENTAL INC,9999999999.0,8000.0,,,,,N,,,,,,N,,3,00372163,2
2018062059,3.0,9,3100 INDUSTRIAL PARKWAY,,JEFFERSONVILLE,IN,47130,RYDER TRUCK RENTAL INC,8122820702.0,85000.0,,,,,N,,,,,,N,,1,00016130,8
2018065698,99.0,8,3740 E THOMPSON ST,,PHILA,PA,19137,DURHAM SCHOOL SERVICES LP,9999999999.0,999999.0,,,,,N,,,,,,N,,3,,11
2018071776,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018072413,99.0,9,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,99
2018076223,3.0,9,6332 FARNSWORTH ST,,PHILADELPHIA,PA,19149,EFW TRANSPORTATION,2672280271.0,80000.0,,,,,N,,,,,,N,,2,00510668,8
2018076814,99.0,9,7777 BREWSTER,,PHILA,PA,99999,AAA CLUB ALLIANCE INC,9999999999.0,25500.0,,,,,N,,,,,,N,,2,,5
2018077446,99.0,8,7700 STATE RD,,PHILA,PA,99999,YELLOW BIRD BUS CO,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,10
2018080371,99.0,9,1272 SUMNEYTOWN PIKE,,LANSDALE,PA,19446,ROONEY LINE CONSTCTION,9999999999.0,10400.0,,,,,N,,,,,,N,,1,,5
2018082706,4.0,8,1234 MARKET ST,,PHILA,PA,19107,SOUTHEASTERN PENNSYLVANIA TRANSP,2157439700.0,999999.0,,,,,N,,,,,,N,,1,,10
2018085282,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018093072,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018098520,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018098521,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018098537,99.0,7,UNKNOWN,,UNKNOWN,PA,99999,WASTE MANAGEMENT,9999999999.0,73280.0,,,,,N,,,,,,N,,1,,5
2018105541,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018107901,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018107952,99.0,8,1234 MARKET,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018108835,2.0,9,1300 GEZON PARKWAY,,WYOMING,MI,49509,GFS TRANSPORT LLC,8666157340.0,72000.0,,,,,N,,,,,,N,,1,00175852,8
2018117757,2.0,1,1300 RT 38,,CHERRY HILL,NJ,08002,CAMDEN FLOORING CO,8566624830.0,26000.0,,,,,N,,,,,,N,,2,00177779,3
2018118333,99.0,8,99,,99,ZZ,99999,999,9999999999.0,999999.0,,,,,N,,,,,,N,,3,,11
2018123555,99.0,9,99,,99,ZZ,99999,PENSKE,9999999999.0,14500.0,,,,,N,,,,,,N,,1,,99
2018126577,99.0,9,99,,99,ZZ,99999,OE & DE LLC / DAVID S ELMALIAH,9999999999.0,16000.0,,,,,N,,,,,,N,,2,,99
2018129438,99.0,8,2905 ABBOTTSFORD AVE,,PHILA,PA,19129,PHILLY TRANSPORTATION LLC,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018130240,2.0,1,4000 CLINE AVE,,EAST CHICAGO,IN,46312,PENSKE TRUCK LEASING CO,8666157340.0,65000.0,,,,,N,,,,,,N,,2,02334119,8
2018130385,99.0,9,9467946794679,,46794R6789469,PA,99999,DEL VAL LEASING COMPANY,9999999999.0,33000.0,,,,,N,,,,,,N,,1,,5
2018133440,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
