CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_HLMT_TYPE,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PASSNGR_IND,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_HLMT_TYPE,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2010074841,U,U,Y,U,,,0.0,Y,U,99999.0,N,,,,,,,,U,,,,,1
2010074860,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010075877,U,U,U,U,U,U,1.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010076716,N,Y,N,Y,Y,Y,1.0,Y,Y,600.0,N,,,,,,,,N,,,,,1
2010081640,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010084131,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010084234,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010084547,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010084564,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2010088668,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010088693,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010088747,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010088763,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010088826,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010088858,U,U,U,N,N,N,0.0,U,U,450.0,N,,,,,,,,N,,,,,1
2010088957,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010088972,U,Y,Y,Y,Y,Y,1.0,Y,U,99999.0,N,,,,,,,,U,,,,,1
2010091242,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010091259,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010092909,N,U,Y,Y,Y,Y,3.0,Y,Y,600.0,N,,,,,,,,N,,,,,2
2010094146,,,,,,,,,,,,,,,,,,,,U,N,Y,U,2
2010094283,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010094296,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010099508,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010099662,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010099743,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010100888,U,U,U,U,N,N,0.0,U,U,1300.0,N,,,,,,,,U,,,,,2
2010100912,,,,,,,,,,,,,,,,,,,,N,U,N,U,2
2010103945,Y,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010103950,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010104988,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010105031,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010105658,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010110722,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010113332,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010113645,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010113816,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010117727,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2010117826,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010118428,N,N,N,N,,,0.0,Y,N,99999.0,N,,,,,,,,N,,,,,1
2010122642,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010125112,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010017224,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2011025872,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010028152,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010032643,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010032755,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010035306,N,N,U,Y,U,Y,1.0,Y,N,954.0,N,,,,,,,,N,,,,,1
2010037536,N,Y,Y,Y,N,Y,1.0,Y,Y,700.0,N,,,,,,,,N,,,,,1
2010039141,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010039154,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2010044787,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010045127,U,U,U,N,,,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010045132,Y,U,U,Y,U,Y,1.0,U,Y,99999.0,N,,,,,,,,U,,,,,1
2010046754,N,U,U,Y,U,Y,1.0,Y,N,535.0,N,,,,,,,,N,,,,,1
2010052247,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010052444,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010052451,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010058997,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010059531,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010061988,U,U,U,U,U,U,9.0,U,U,99999.0,Y,U,U,U,U,9.0,U,U,U,,,,,1
2010062688,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010062708,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010063260,N,N,U,Y,Y,Y,1.0,Y,N,600.0,N,,,,,,,,N,,,,,2
2010064702,N,U,N,N,N,N,0.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010069714,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010069715,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010069764,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010069785,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010069886,U,U,U,Y,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010070006,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010073721,N,N,N,Y,Y,Y,1.0,Y,Y,600.0,N,,,,,,,,N,,,,,3
2010074529,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010075066,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010075835,N,N,Y,Y,Y,Y,1.0,Y,Y,750.0,N,,,,,,,,N,,,,,1
2010081946,,,,,,,,,,,,,,,,,,,,U,U,Y,U,2
2010086031,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010087146,Y,Y,N,Y,Y,Y,1.0,Y,N,600.0,Y,N,Y,Y,Y,1.0,N,N,N,,,,,1
2010088761,N,N,N,N,,,0.0,N,N,100.0,N,,,,,,,,N,,,,,1
2010088829,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010088855,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010090107,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010091130,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010093661,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010093717,,,,,,,,,,,,,,,,,,,,N,Y,N,Y,2
2010094152,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010096493,,,,,,,,,,,,,,,,,,,,Y,U,N,Y,2
2010099521,U,U,U,U,U,U,9.0,U,U,99999.0,Y,U,U,U,U,9.0,U,U,U,,,,,1
2010099775,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2010103021,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010103081,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010104976,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010109969,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010110864,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010111142,,,,,,,,,,,,,,,,,,,,N,N,N,U,1
2010113727,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010113729,,,,,,,,,,,,,,,,,,,,N,Y,N,U,2
2010113747,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010117714,U,U,U,Y,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010117870,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010118384,N,U,Y,U,U,U,9.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010121919,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010122405,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010122423,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010122478,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010012663,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2011000880,,,,,,,,,,,,,,,,,,,,N,Y,N,Y,1
2010022000,Y,Y,U,Y,Y,Y,1.0,Y,Y,800.0,N,,,,,,,,N,,,,,1
2011024879,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2011090561,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010032648,N,Y,Y,Y,Y,Y,1.0,Y,Y,750.0,N,,,,,,,,N,,,,,1
2010032729,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010038638,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010038996,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010039137,,,,,,,,,,,,,,,,,,,,U,Y,N,U,1
2010048459,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010051281,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2010052477,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010053217,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010057910,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010058760,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010058813,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010058944,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010058981,U,U,U,N,N,N,0.0,U,U,99999.0,Y,U,N,N,N,0.0,U,U,U,,,,,1
2010059016,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010059560,U,U,U,U,U,U,1.0,U,U,600.0,N,,,,,,,,U,,,,,1
2010059584,U,U,U,U,Y,Y,2.0,Y,Y,250.0,N,,,,,,,,U,,,,,2
2010060220,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010060303,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010061969,N,N,N,N,,,0.0,N,N,99999.0,N,,,,,,,,N,,,,,1
2010062695,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010064703,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2010069074,N,Y,Y,Y,Y,Y,1.0,Y,Y,150.0,N,,,,,,,,N,,,,,2
2010069575,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010069668,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010069977,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010070784,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010072485,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010074429,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010074876,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010075066,,,,,,,,,,,,,,,,,,,,U,N,N,U,3
2010075104,,,,,,,,,,,,,,,,,,,,N,N,N,N,1
2010078316,U,N,U,N,N,N,0.0,N,N,99999.0,N,,,,,,,,U,,,,,5
2010083204,N,N,U,Y,U,U,0.0,N,N,450.0,N,,,,,,,,N,,,,,1
2010083952,N,U,N,N,,,0.0,Y,N,99999.0,N,,,,,,,,N,,,,,1
2010084230,,,,,,,,,,,,,,,,,,,,U,Y,N,N,2
2010084584,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010084589,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010084593,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010086311,N,Y,N,Y,Y,Y,1.0,Y,Y,1400.0,N,,,,,,,,N,,,,,1
2010087360,Y,N,N,N,N,N,0.0,Y,N,600.0,N,,,,,,,,N,,,,,1
2010088703,U,U,U,U,U,U,9.0,U,U,99999.0,Y,U,U,N,N,0.0,U,U,U,,,,,1
2010088961,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010093727,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010094079,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010094198,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010094300,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010098613,U,U,U,U,N,N,0.0,Y,Y,99999.0,N,,,,,,,,U,,,,,2
2010099577,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010099752,U,U,U,U,U,U,9.0,U,N,99999.0,N,,,,,,,,U,,,,,1
2010102358,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010102484,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010102490,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010102649,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010103026,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010104921,,,,,,,,,,,,,,,,,,,,N,N,Y,N,2
2010105062,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010110221,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010110763,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010110820,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010110827,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010113330,U,U,U,U,N,N,0.0,U,U,99999.0,Y,U,U,N,N,0.0,U,U,U,,,,,1
2010113734,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2011000902,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2011025675,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2011025770,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2011027929,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010031751,N,Y,Y,Y,Y,Y,1.0,Y,Y,636.0,N,,,,,,,,N,,,,,1
2010032577,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010039312,,,,,,,,,,,,,,,,,,,,N,Y,N,Y,2
2010040522,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010044752,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010048465,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010048725,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010052212,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010059552,U,U,U,U,U,U,9.0,U,U,99999.0,U,,,,,,,,U,,,,,2
2010059749,Y,Y,U,N,U,Y,2.0,Y,Y,1300.0,N,,,,,,,,N,,,,,1
2010061990,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062280,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062313,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062682,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062697,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062724,N,N,N,Y,U,U,0.0,Y,Y,99999.0,N,,,,,,,,N,,,,,2
2010066978,U,U,U,Y,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010066985,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010069275,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2010069840,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010069874,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010069943,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2010069965,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010070722,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010072466,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010074428,U,U,U,N,N,N,0.0,U,U,99999.0,Y,N,N,N,N,0.0,U,U,N,,,,,1
2010074439,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010074443,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010074446,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010074466,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010075884,N,U,U,U,,,0.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010075904,U,U,U,Y,Y,Y,1.0,Y,U,600.0,N,,,,,,,,U,,,,,2
2010078383,N,Y,U,Y,Y,Y,1.0,Y,N,600.0,N,,,,,,,,N,,,,,1
2010081817,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2010084240,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010084262,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2010088677,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010088728,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010088976,,,,,,,,,,,,,,,,,,,,N,N,N,U,1
2010089101,Y,U,U,Y,U,Y,2.0,Y,Y,99999.0,N,,,,,,,,N,,,,,2
2010093317,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010094099,,,,,,,,,,,,,,,,,,,,N,U,Y,U,1
2010094159,,,,,,,,,,,,,,,,,,,,U,U,N,N,1
2010094191,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010094201,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010094214,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010094227,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010096501,U,U,U,U,U,U,1.0,Y,Y,99999.0,N,,,,,,,,U,,,,,1
2010098521,N,N,U,Y,Y,Y,1.0,Y,Y,250.0,N,,,,,,,,N,,,,,1
2010099729,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010099816,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010100900,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010102945,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010105655,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010113803,U,U,U,N,,,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010114042,N,N,N,U,,,0.0,Y,Y,99999.0,N,,,,,,,,N,,,,,1
2010114329,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010117907,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010118403,N,N,N,N,,,0.0,Y,N,800.0,N,,,,,,,,N,,,,,1
2010118808,N,N,U,Y,U,Y,1.0,Y,Y,600.0,N,,,,,,,,N,,,,,1
2010125108,N,U,U,U,,,0.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010021630,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010021716,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2011026312,,,,,,,,,,,,,,,,,,,,U,Y,N,U,1
2011026357,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010032813,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010034183,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010038811,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010044475,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010044618,N,U,U,U,U,U,1.0,Y,Y,99999.0,N,,,,,,,,N,,,,,1
2010044724,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010044850,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010048797,U,U,U,Y,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010052239,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2010052280,U,U,N,N,N,N,0.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010052398,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010056210,Y,Y,N,Y,Y,Y,1.0,Y,N,1200.0,N,,,,,,,,N,,,,,2
2010057909,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010058746,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010058914,,,,,,,,,,,,,,,,,,,,N,U,N,U,1
2010058946,U,U,U,N,N,N,0.0,U,U,99999.0,Y,U,N,N,N,0.0,U,U,U,,,,,1
2010059538,U,U,U,U,U,U,9.0,U,U,99999.0,U,,,,,,,,U,,,,,2
2010059586,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010061977,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062042,U,U,U,N,U,U,9.0,U,N,99999.0,N,,,,,,,,U,,,,,1
2010062331,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062638,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010062705,U,U,U,N,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010064712,U,U,U,Y,Y,Y,1.0,Y,Y,99999.0,N,,,,,,,,U,,,,,1
2010067083,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010069736,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010069945,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2010070008,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010070041,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010070055,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2010070064,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010070066,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010070698,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010070791,U,U,U,U,,,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010074090,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2010074856,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010074879,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010075886,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010081499,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010081790,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010081815,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010081919,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010084161,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010084195,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010084254,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010084268,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010084557,U,U,U,U,U,U,9.0,U,U,99999.0,Y,U,U,U,U,9.0,U,U,U,,,,,1
2010084607,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010088757,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010088790,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010088824,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010089365,Y,Y,N,Y,Y,Y,1.0,Y,Y,1800.0,N,,,,,,,,N,,,,,1
